1010159_3	-1.343	0.394	2	6	12	78	24	73	23	67	18	54	7	-50
1006104_1	0.044	1.031	2	7	1	2283	1152	72	23	2251	1060	54	7	0
1006512_1	0.098	1.070	2	7	2	333	108	74	24	302	67	54	7	0
1006820_1	-0.028	0.981	2	7	3	386	87	73	22	382	51	55	7	0
1007228_1	0.363	1.286	2	7	4	138	51	74	23	105	26	54	7	0
1007636_1	0.611	1.527	2	7	5	623	152	70	22	426	87	55	7	0
1008044_1	0.614	1.531	2	7	6	3158	791	73	23	2119	548	54	8	0
1008748_1	0.370	1.293	2	7	7	151	41	69	23	119	24	54	7	0
1009156_1	-0.596	0.661	2	7	8	531	168	74	23	763	245	55	8	0
1009564_1	-0.798	0.575	2	7	9	1683	334	73	23	2923	697	54	7	0
1009972_1	-0.169	0.890	2	7	10	3242	806	74	23	3703	1054	54	8	0
1322226_2	-0.628	0.647	2	7	11	85	29	73	22	73	12	54	7	0
1009317_2	0.590	1.505	2	7	12	40642	12182	76	23	27673	8682	55	7	0
1006128_1	-0.116	0.923	2	8	1	862	184	74	25	930	107	55	6	0
1006436_1	0.554	1.468	2	8	2	129	35	76	23	92	16	55	8	0
1006844_1	0.569	1.483	2	8	3	130	40	75	23	92	16	54	7	0
1007252_1	-0.876	0.545	2	8	4	2258	955	74	22	4162	1672	54	7	0
1007660_1	0.920	1.892	2	8	5	144	47	72	21	94	24	55	7	0
1008364_1	-0.134	0.911	2	8	6	316	76	75	24	325	54	54	7	0
1008772_1	-0.363	0.777	2	8	7	1353	218	74	23	1741	303	55	7	0
1009180_1	-0.021	0.986	2	8	8	554	104	75	23	553	60	55	8	0
1009588_1	-0.644	0.640	2	8	9	524	98	75	23	773	59	54	7	0
1009896_1	-0.747	0.596	2	8	10	227	42	77	22	313	38	55	7	0
1010173_2	0.488	1.403	2	8	12	280	84	76	25	205	36	56	8	0
1006052_1	1.406	2.650	2	9	1	3855	793	76	23	1516	216	55	7	0
1006460_1	0.818	1.763	2	9	2	280	95	77	22	173	39	55	7	0
1006868_1	0.922	1.895	2	9	3	175	56	77	23	108	23	55	7	0
1007276_1	-0.489	0.712	2	9	4	813	316	76	23	1116	402	56	7	0
1007980_1	0.450	1.366	2	9	5	101	34	77	21	73	12	55	7	0
1008388_1	0.982	1.975	2	9	6	183	232	77	22	110	86	55	7	0
1008796_1	-0.248	0.842	2	9	7	3090	1134	74	23	3726	1597	56	7	0
1009204_1	0.115	1.083	2	9	8	114	28	77	23	90	17	55	7	0
1009512_1	-0.012	0.992	2	9	9	321	82	78	23	307	64	56	7	0
1009920_1	0.159	1.117	2	9	10	319	82	76	23	279	32	56	7	0
1010163_4	-0.273	0.828	2	9	12	100	32	79	23	81	15	55	7	0
1006076_1	-0.647	0.639	2	10	1	946	311	74	22	1454	342	55	8	0
1006484_1	1.035	2.049	2	10	2	199	57	75	22	118	22	56	7	0
1006892_1	0.301	1.232	2	10	3	254	66	76	20	205	42	57	8	0
1007596_1	0.797	1.737	2	10	4	155	46	77	23	101	13	55	7	0
1008004_1	-0.271	0.829	2	10	5	762	116	76	23	903	164	55	7	0
1008412_1	0.971	1.960	2	10	6	120	39	76	23	79	17	56	7	0
1008820_1	-0.323	0.800	2	10	7	621	203	74	24	756	292	55	7	0
1009128_1	0.110	1.079	2	10	8	1947	221	76	21	1832	158	56	7	0
1009536_1	-0.452	0.731	2	10	9	9469	1963	79	23	13220	2447	56	7	0
1009944_1	0.449	1.365	2	10	10	516	127	79	24	384	58	56	6	0
1010155_2	-3.772	0.073	2	10	12	78	26	77	24	70	10	56	7	0
1006100_1	-0.103	0.931	2	11	1	794	132	76	24	847	111	57	7	0
1006508_1	-0.200	0.871	2	11	2	5555	708	81	23	6499	909	56	7	0
1007212_1	0.614	1.531	2	11	3	569	202	76	23	387	122	57	7	0
1007620_1	0.913	1.883	2	11	4	148	75	80	23	93	30	56	7	0
