b2789	b2789	E100002729
b2790	b2790	E100002730
b2792	b2792	E100002732
b2809	b2809	E100002749
b2810	b2810	E100002750
b2817	b2817	E100002754
b2832	b2832	E100002769
b2833	b2833	E100002770
b2834	b2834	E100002771
b2845	b2845	E100002782
b2853	b2853	E100002790
b2854	b2854	E100002791
b2856	b2856	E100002793
b2857	b2857	E100002794
b2858	b2858	E100002795
b2859	b2859	E100002796
b2862	b2862	E100002799
b2863	b2863	E100002800
b2865	b2865	E100002801
b2866	b2866	E100002802
b2868	b2868	E100002804
b2873	b2873	E100002809
b2875	b2875	E100002811
b2876	b2876	E100002812
b2878	b2878	E100002814
b2879	b2879	E100002815
b2880	b2880	E100002816
b2881	b2881	E100002817
b2889	b2889	E100002825
b2896	b2896	E100002832
b2899	b2899	E100002835
b2931	b2931	E100002866
b2970	b2970	E100002904
b2971	b2971	E100002905
b2972	b2972	E100002906
b2973	b2973	E100002907
b2974	b2974	E100002908
b2981	b2981	E100002915
b2989	b2989	E100002923
b2997	b2997	E100002931
b2998	b2998	E100002932
b2999	b2999	E100002933
b3000	b3000	E100002934
b3001	b3001	E100002935
b3004	b3004	E100002938
b3007	b3007	E100002941
b3015	b3015	E100002949
b3020	b3020	E100002954
b3021	b3021	E100002955
b3022	b3022	E100002956
b3023	b3023	E100002957
b3027	b3027	E100002961
b3042	b3042	E100002976
b3050	b3050	E100002984
b3051	b3051	E100002985
b3052	b3052	E100002986
b3100	b3100	E100003033
b3122	b3122	E100003055
b3254	b3254	E100003184
b3472	b3472	E100003395
b3694	b3694	E100003615
b3776	b3776	E100003690
b3808	b3808	E100003718
b3814	b3814	E100003724
b3836	b3836	E100003746
b3837	b3837	E100003747
b3838	b3838	E100003748
b3913	b3913	E100003817
b3914	b3914	E100003818
b3975	b3975	E100003875
b4103	b4103	E100003995
b4140	b4140	E100004031
b4250	b4250	E100004138
b4256	b4256	E100004144
b4285	b4285	E100004172
b4286	b4286	E100004173
bacA	b3057	E100002991
baeR	b2079	E100002038
baeS	b2078	E100002037
barA	b2786	E100002726
basR	b4113	E100004005
basS	b4112	E100004004
bax	b3570	E100003492
bcp	b2480	E100002431
bcr	b2182	E100002141
betA	b0311	E100000303
betB	b0312	E100000304
betI	b0313	E100000305
betT	b0314	E100000306
bfr	b3336	E100003259
bglA	b2901	E100002837
bglB	b3721	E100003642
bglF	b3722	E100003643
bglG	b3723	E100003644
bglJ	b4366	E100004253
bglX	b2132	E100002091
bioA	b0774	E100000750
bioB	b0775	E100000751
bioC	b0777	E100000753
bioD	b0778	E100000754
bioF	b0776	E100000752
bioH	b3412	E100003335
birA	b3973	E100003873
bisC	b3551	E100003473
bisZ	b1872	E100001840
blc	b4149	E100004040
bolA	b0435	E100000427
brnQ	b0401	E100000393
btuB	b3966	E100003870
btuC	b1711	E100001679
btuD	b1709	E100001677
btuE	b1710	E100001678
btuR	b1270	E100001241
cadA	b4131	E100004023
cadB	b4132	E100004024
cadC	b4133	E100004025
cafA	b3247	E100003177
caiA	b0039	E100000039
caiB	b0038	E100000038
caiC	b0037	E100000037
caiD	b0036	E100000036
caiE	b0035	E100000035
caiF	b0034	E100000034
caiT	b0040	E100000040
carA	b0032	E100000032
carB	b0033	E100000033
cbl	b1987	E100001947
cbpA	b1000	E100000974
cca	b3056	E100002990
cchA	b2457	E100002408
cchB	b2456	E100002407
ccmA	b2201	E100002159
ccmB	b2200	E100002158
ccmC	b2199	E100002157
ccmD	b2198	E100002156
ccmE	b2197	E100002155
ccmF	b2196	E100002154
ccmH	b2194	E100002152
cdd	b2143	E100002102
cdh	b3918	E100003822
cdsA	b0175	E100000175
celA	b1738	E100001706
celB	b1737	E100001705
celC	b1736	E100001704
celD	b1735	E100001703
