1005979_1	0.563	8.3966047812	9.6275338845	0.5189649419
1005980_1	0.504	8.897845456	10.036173613	0.4505604365
1005981_1	0.072	8.8423503434	9.5755392468	0.0233012789
1005982_1	0.151	6.9425145053	7.9772799235	0.2007432351
1005983_1	-0.2	9.4716752144	9.9068905956	-0.253413518
1005984_1	0.343	7.8137811912	8.8826430494	0.3175229158
1005985_1	0.774	9.4051414631	10.787902559	0.7168938563
1005986_1	0.06	8.5196362528	9.2573878427	0.0184132128
1005987_1	0.662	7.3575520046	8.7648715907	0.6518215486
1005988_1	1.292	8.7879025594	10.692615502	1.2373945847
1005989_1	-0.34	6.6147098441	7.4512111118	-0.220851516
1005990_1	0.275	8.7780771295	9.7159619903	0.2257626432
1005991_1	0.733	7.6582114828	9.1215335173	0.7056418219
1005992_1	2.942	5.9772799235	9.6275338845	2.9513191111
1005993_1	0.05	7.3923174228	8.2992080184	0.0551382619
1005994_1	0.261	7.1292830169	8.2667865407	0.2821465597
1005995_1	-0	6.0443941194	7.3128829553	0.179815751
1005996_1	2.521	10.749031382	13.835951699	2.440104809
1005997_1	0.409	8.8423503434	9.9038818457	0.356693513
1005998_1	0.883	8.1598713368	9.7125270004	0.840311318
1005999_1	-0.24	9.7665289086	10.167418146	-0.293134428
1006000_1	-0.24	11.519144788	11.859534786	-0.318823732
1006001_1	-1.09	9.6969675262	9.2691266791	-1.146241964
1006002_1	-1.37	10.644757593	9.9203528554	-1.424525319
1006003_1	-0.72	8.4553272203	8.4878400338	-0.745789445
1006004_1	-0.6	9.2094533656	9.2900188469	-0.645749663
1006005_1	-0.2	8.6438561898	9.1215335173	-0.244632434
1006006_1	-0.03	9.0279059966	9.6582114828	-0.077858999
1006007_1	-0.51	6.7004397181	7.7747870596	-0.422179033
1006008_1	-0.23	6.5235619561	8	-0.151246567
1006009_1	-0.03	7.6293566201	8.7279204546	-0.043622481
1006010_1	-0.2	9.7960396088	10.22881869	-0.255328
1006011_1	0.116	7.8765169466	8.7108064337	0.0936591072
1006012_1	-0.31	7.971543554	8.4387918526	-0.332966366
1006013_1	-0.39	7.022367813	7.6653359172	-0.323616864
1006014_1	-0.42	8.9425145053	9.2288186905	-0.463944629
1006015_1	-0.03	7.4594316186	8.2761244053	-0.028428408
1006016_1	0.254	6.4594316186	7.7747870596	0.356693513
1006017_1	0.302	7	8.1848753429	0.3337931109
1006018_1	0.193	8.2240016742	9.1446582428	0.1571157209
1006019_1	0.14	10.158609688	10.912889336	0.0781638623
1006020_1	-0.97	8.2573878427	8.1548181091	-0.989081324
1006021_1	-0.09	7.8454900509	8.5545888517	-0.111822868
1006022_1	0.065	8.0821490414	8.8887432489	0.0347654182
1006023_1	-0.45	10.015415052	10.203348003	-0.506310418
1006024_1	-0.01	9.3037807482	9.9454438364	-0.065219432
1006025_1	0.133	7.9886846868	8.8392037881	0.1050189694
1006026_1	0.054	7.5849625007	8.4178525149	0.0460512257
1006027_1	-0.27	7.5077946402	8.0714623626	-0.260509325
1006028_1	-0.06	7.1996723448	7.9829935747	-0.032231146
1006029_1	-0.53	8.8454900509	9.0112272554	-0.575763747
1006030_1	0.246	7.5235619561	8.5274770061	0.2375984559
1006031_1	-0.39	8.3442959079	8.6934869575	-0.417102452
