276	-0.296	0.5062	CHIP4005	193	382	-	14	9
277	0.049	1.1197	CHIP4487	73	65	-	14	10
278	0.157	1.4354	CHIP0089	2783	1939	-	14	11
279	-0.040	0.9123	CHIP0008	1873	2053	-	14	12
280	-0.120	0.7593	CHIP4603	361	475	-	14	13
281	-0.013	0.9706	CHIP4660	71	73	-	14	14
282	-0.126	0.7487	CHIP4669	109	145	-	14	15
283	0.000	1.0000	CHIP1207	14	23	XY	14	16
284	-0.284	0.5197	CHIP1184	114	219	-	14	17
285	-0.019	0.9566	CHIP1161	1351	1412	-	14	18
286	0.225	1.6793	CHIP1139	49	25	Y	15	0
287	0.079	1.2005	CHIP1274	250	208	-	15	1
288	-0.219	0.6035	CHIP1342	290	480	-	15	2
289	0.088	1.2250	CHIP2496	528	431	-	15	3
290	0.075	1.1878	CHIP2498	470	396	-	15	4
291	0.065	1.1624	CHIP2524	1933	1663	-	15	5
292	-0.213	0.6120	CHIP2557	772	1262	-	15	6
293	0.101	1.2616	CHIP2608	180	143	-	15	7
294	0.178	1.5078	CHIP2640	903	599	-	15	8
295	0.266	1.8464	CHIP3438	54	5	Y	15	9
296	0.134	1.3609	CHIP3329	516	379	-	15	10
297	-0.480	0.3309	CHIP3395	46	140	-	15	11
298	0.408	2.5580	CHIP3288	74	10	Y	15	12
299	0.748	5.6031	CHIP2944	311	56	-	15	13
300	0.133	1.3586	CHIP3028	543	400	-	15	14
301	-0.063	0.8649	CHIP4785	146	168	-	15	15
302	0.252	1.7859	CHIP4795	440	246	-	15	16
303	0.000	1.0000	CHIP4832	27	23	XY	15	17
304	0.036	1.0867	CHIP4828	92	85	-	15	18
305	-0.039	0.9137	CHIP4848	807	883	-	16	0
306	-0.256	0.5543	CHIP4866	756	1363	-	16	1
307	0.061	1.1502	CHIP5664	-5	32	X	16	2
308	0.000	1.0000	CHIP5674	-25	-23	XY	16	3
309	0.383	2.4177	CHIP5681	70	-6	Y	16	4
