81	2800	21990	43	40	13	10	40	38	29	10	0	2	0.3	6768	67	62	19	17	25	7	0	67	60	7	0.316	10611	150	0.281	0.703	0.796	0.729	4.21	0.005	0	156	994	9	12	-1.83	5	7	8.17693E-05	0.000125028	0.654009705	-0.184415807	-50
82	3030	21990	42	39	10	11	41	38	21	3	0	3	0.273	6586	64	61	16	16	25	6	0	64	59	4	0.176	10055	150	0.675	0.9	0.811	0.829	3.747	48.357	0.001	156	1013	7	8	-0.567	4	4	6.54154E-05	7.14444E-05	0.915613587	-0.038287771	-50
83	3280	22000	64	39	23	11	61	37	72	51	0	24	2.182	5137	99	61	27	16	78	57	0	98	59	38	2.412	7971	100	0.631	0.68	0.677	0.702	4.273	0.464	0.195	80	560	62	67	-0.664	27	40	0.000441554	0.000714444	0.618039171	-0.208983998	0
84	3510	22000	73	40	22	11	66	38	88	63	0	28	2.818	5854	120	60	27	16	97	86	0	114	59	54	3.765	9679	110	0.524	0.571	0.612	0.528	2.676	0.464	0.326	80	632	82	96	-0.933	35	61	0.000572385	0.001089527	0.525352058	-0.279549562	0
85	3730	21990	45	39	14	10	43	37	35	16	0	6	0.6	7085	68	61	21	16	30	12	0	64	59	4	0.471	10676	150	1.35	0.9	0.596	0.67	4.287	0.073	0.005	156	967	10	17	0.433	8	9	0.000130831	0.00016075	0.813878744	-0.089440294	-50
86	3970	21990	53	40	20	10	49	38	50	27	0	11	1.2	8335	71	62	22	16	33	12	0	68	60	8	0.556	11240	150	1.375	1.313	0.825	0.842	3.545	0.315	0.056	156	1016	19	25	0.46	14	11	0.000228954	0.000196472	1.165326384	0.066447579	-50
87	4210	22000	71	39	25	10	68	38	81	65	0	30	3	5691	111	61	31	16	86	68	0	111	59	51	2.944	8909	110	0.593	0.634	0.643	0.608	3.532	0.455	0.212	80	650	81	83	-0.753	32	51	0.000523324	0.000910916	0.574502643	-0.240707969	0
88	4430	22000	47	41	14	13	45	39	30	9	0	6	0.462	2461	89	62	21	16	69	42	0	89	59	30	1.611	4659	90	0.211	0.281	0.422	0.446	4.077	0.296	0.05	52	420	36	38	-2.245	8	30	0.000130831	0.000535833	0.244163623	-0.612319039	0
89	4670	21990	45	40	15	12	43	38	28	10	0	5	0.417	7167	65	61	16	16	28	4	0	65	59	5	0.278	10312	150	0.938	1.125	0.844	0.86	3.873	0.07	0.003	156	1048	10	13	-0.093	7	6	0.000114477	0.000107167	1.068215852	0.028659018	-50
90	4910	21990	49	40	16	11	48	38	44	24	0	10	0.818	7791	69	61	23	16	33	14	0	66	59	7	0.5	10827	150	1.407	1.125	0.684	0.73	4.061	0.126	0.011	156	1073	17	21	0.492	11	10	0.000179892	0.000178611	1.007174946	0.003104914	-50
91	5160	22000	66	41	22	12	66	39	69	51	0	27	2	3453	104	61	30	16	82	61	0	103	60	43	2.706	5432	80	0.636	0.623	0.726	0.626	4.096	0.322	0.127	52	340	70	71	-0.653	27	44	0.000441554	0.000785888	0.561853792	-0.250376684	0
92	5390	21990	59	40	22	10	55	39	60	42	0	15	1.8	4742	94	61	23	16	77	51	0	93	59	33	2.059	7514	100	0.469	0.578	0.656	0.697	3.718	0.37	0.111	80	560	48	54	-1.093	20	34	0.000327077	0.000607277	0.538596228	-0.268736693	0
93	5620	22000	71	40	24	10	66	39	82	58	0	27	2.9	8507	126	59	38	15	90	85	0	123	58	65	4.438	15102	120	0.424	0.469	0.45	0.436	3.585	0.329	0.252	120	756	92	98	-1.238	31	67	0.00050697	0.001196693	0.423642107	-0.37300088	0
94	5860	21990	82	41	26	10	76	40	91	73	0	36	3.9	6592	124	59	31	15	95	86	0	120	58	62	4.313	9953	110	0.58	0.643	0.586	0.586	3.032	0.56	0.354	80	650	98	107	-0.787	42	65	0.000686862	0.001160971	0.591627241	-0.227951838	0
95	6100	22000	81	40	27	11	77	38	85	73	0	39	3.545	6511	124	58	28	15	100	96	0	122	56	65	4.375	9919	100	0.595	0.641	0.662	0.563	2.66	0.559	0.397	80	560	104	110	-0.75	43	67	0.000703216	0.001196693	0.587632601	-0.230894118	0
